Perth
North,Perth
South,Perth
East,Perth
West,Perth
Central,Perth
Shire1,North
Shire2,South
Shire3,East
Shire4,West
Shire5,Central
Suburb1,Shire1
Suburb2,Shire2
Suburb3,Shire3
Street1,Suburb1
Street2,Suburb2
Street3,Suburb3
Street4,Suburb3
Building1,Street1,dm=534.61,da=912.96,de=121.01,em=747.08,ea=258.5,ee=401.36,h=955.79,s=341.58
Building2,Street2,dm=497.64,da=156.32,de=710.48,em=72.18,ea=411.96,ee=648.95,h=238.71,s=307.92
Building3,Street3,dm=476.0,da=603.66,de=747.47,em=896.79,ea=412.07,ee=795.41,h=720.38,s=29.43
Building4,Street4,dm=179.68,da=879.34,de=330.64,em=254.71,ea=13.6,ee=370.38,h=384.13,s=199.37
